 Niter                routsh                   vsh                evelsh                tempsh                denssh                vgamma     nlc   nvis2     ncp  nt3amp nvisamp nvisphi    nsed    nspe  ntotal          chi2lc        chi2vis2          chi2cp       chi2t3amp      chi2visamp      chi2visphi         chi2sed         chi2spe       chi2total        r_chi2lc      r_chi2vis2        r_chi2cp     r_chi2t3amp    r_chi2visamp    r_chi2visphi       r_chi2sed       r_chi2spe     r_chi2total
    64     30.89891378239161     399.3608886636007     1.104581967878473                 10000 1.974936783783555e-13     70.14782483202266       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       185.67504       185.67504               0               0               0               0               0               0               0      0.92837518      0.92837518
    65     32.71047546744368     403.4660233268705     1.139930262385252                 10000 2.008056555120762e-13     69.99541341493918       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       184.39846       184.39846               0               0               0               0               0               0               0      0.92199229      0.92199229
    66     35.24132633782812     402.3046499022655     1.172499759613011                 10000 2.068160187612757e-13     69.33838168083858       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       184.83241       184.83241               0               0               0               0               0               0               0      0.92416205      0.92416205
    67     33.44304054787708     404.0316831061241     1.128243191717436                 10000 2.034494764308127e-13     70.10032694884291       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       184.23025       184.23025               0               0               0               0               0               0               0      0.92115125      0.92115125
    68     35.98217314604463     403.6556053445171     1.142444127803916                 10000 2.102705921716067e-13     69.69935249043321       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       186.11865       186.11865               0               0               0               0               0               0               0      0.93059324      0.93059324
    69     36.77732660941075     408.4716406240842      1.15525493407476                 10000 2.023459692053994e-13     68.79686472540045       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       183.58103       183.58103               0               0               0               0               0               0               0      0.91790515      0.91790515
    70     41.59917636187838     412.0745451310941      1.18954091070228                 10000 2.064962371887583e-13     67.35560443608104       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       183.96912       183.96912               0               0               0               0               0               0               0      0.91984558      0.91984558
    71     38.47437019104027     402.0656025767224     1.142348598173359                 10000 2.098606939769916e-13      67.3176107530588       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       188.54345       188.54345               0               0               0               0               0               0               0      0.94271725      0.94271725
    72     30.82241951862544     406.4202599434985     1.120716440337989     9888.078089755527 1.953285662329981e-13     70.88054941724155       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       184.45609       184.45609               0               0               0               0               0               0               0      0.92228044      0.92228044
    73     35.82172761521377     412.9296500721782     1.156650508840923     9895.645913786102 2.021298352018506e-13     69.48222308807824       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       182.59491       182.59491               0               0               0               0               0               0               0      0.91297457      0.91297457
    74     38.28313453162485      419.714030776467     1.182684779322147     9843.468870679153 2.044479136135981e-13     69.14942221610603       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       181.76261       181.76261               0               0               0               0               0               0               0      0.90881307      0.90881307
    75     37.18768696091303     418.5872917743032     1.199215497395879                 10000  2.06035486325966e-13     67.54076983549751       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       182.07354       182.07354               0               0               0               0               0               0               0      0.91036769      0.91036769
    76     35.05319862293122      405.954243558913      1.16131302942491     9939.698299478385  2.03499814591698e-13     71.05844038294288       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       182.38982       182.38982               0               0               0               0               0               0               0      0.91194908      0.91194908
    77     40.32920139477476     413.6547111120886     1.201497457768806                 10000 2.115328723268521e-13     67.99986309066807       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       183.09118       183.09118               0               0               0               0               0               0               0      0.91545589      0.91545589
    78     40.98072075506688      420.005176990456     1.202806034182728     9927.722390052513 2.096315219860325e-13     68.21981565154678       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       181.68794       181.68794               0               0               0               0               0               0               0       0.9084397       0.9084397
    79                    45     428.2747538222487     1.234243920081465      9891.58358507877 2.140444552230106e-13     67.33201676985058       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       179.96527       179.96527               0               0               0               0               0               0               0      0.89982633      0.89982633
    80      44.1004754920078     427.5205407832441     1.249826680971887      9891.58358507877 2.105193606646954e-13     67.19213205797891       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       179.15743       179.15743               0               0               0               0               0               0               0      0.89578714      0.89578714
    81                    45     439.2649696218041                   1.3     9837.375377618155 2.140543027816368e-13     65.73803461254691       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       175.91642       175.91642               0               0               0               0               0               0               0       0.8795821       0.8795821
    82     43.50708056067054     433.3450262645239     1.271063293922976     9837.375377618155 2.155256457488544e-13     67.47598424380355       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       176.86309       176.86309               0               0               0               0               0               0               0      0.88431545      0.88431545
    83     41.01449883060512     434.7253941606646      1.24800938228032      9783.16717015754 2.076696671014026e-13     68.09835959624778       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        177.8592        177.8592               0               0               0               0               0               0               0      0.88929599      0.88929599
    84                    45     452.0162452477575                   1.3     9791.291827572202 2.170926756731248e-13     64.05308870840793       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       180.95633       180.95633               0               0               0               0               0               0               0      0.90478164      0.90478164
    85                    45     450.5261815235187                   1.3     9661.420736241322 2.182427337212431e-13     66.40819888015673       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       179.97611       179.97611               0               0               0               0               0               0               0      0.89988054      0.89988054
    86                    45     459.6701594370387                   1.3     9757.269154082893 2.244285798028259e-13     63.88580538756513       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       194.14557       194.14557               0               0               0               0               0               0               0      0.97072783      0.97072783
    87      41.1850322150854     429.7030629416099     1.229118772684804     9821.918941530088 2.094430801609051e-13      67.8335180089708       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       179.36273       179.36273               0               0               0               0               0               0               0      0.89681365      0.89681365
    88     41.90220386878703     419.9302175303658     1.227478456323188     9819.655235175806 2.092339525725594e-13     70.24228199545087       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       179.67096       179.67096               0               0               0               0               0               0               0       0.8983548       0.8983548
    89      40.8696051583827     411.2216265902203     1.203304608430917                 10000 2.050809674748798e-13     69.16519952880009       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       183.18041       183.18041               0               0               0               0               0               0               0      0.91590207      0.91590207
