#               ucoord              vcoord                 hjd            eff_wave            vis2data             vis2err             vis2syn                chi2
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.243515220000e-06   7.485465090000e-01   3.283994590000e-02   7.619398832321e-01   1.663317442352e-01
 -1.153562490000e+02  -5.955262130000e+01   2.458656656316e+06   2.265635940000e-06   7.340588890000e-01   3.523953360000e-02   7.659342885017e-01   8.181839757283e-01
 -1.160201320000e+02  -5.707631870000e+01   2.458656664511e+06   2.274842510000e-06   8.349454330000e-01   7.572899380000e-02   7.688262462616e-01   7.623082736342e-01
 -1.164291680000e+02  -5.233333590000e+01   2.458656680128e+06   2.283065540000e-06   8.390785640000e-01   6.776444480000e-02   7.745561003685e-01   9.066050087041e-01
 -1.162262150000e+02  -5.005759760000e+01   2.458656687622e+06   2.278945320000e-06   8.283611370000e-01   6.441507140000e-02   7.768253684044e-01   6.400921923192e-01
 -1.146891950000e+02  -4.464690210000e+01   2.458656705563e+06   2.248969890000e-06   7.429754540000e-01   5.356014390000e-02   7.814041376114e-01   5.147869694464e-01
 -1.135593210000e+02  -4.231741330000e+01   2.458656713386e+06   2.226966280000e-06   7.819008410000e-01   4.215554710000e-02   7.830623984337e-01   7.592274768741e-04
 -1.008717940000e+02  -7.711610830000e+01   2.458656594941e+06   2.000304450000e-06   6.973679750000e-01   5.264598610000e-02   7.667857408524e-01   1.738644274962e+00
 -1.008717940000e+02  -7.711610830000e+01   2.458656594941e+06   2.020413290000e-06   7.180428880000e-01   5.997648010000e-02   7.707338333130e-01   7.718093434588e-01
 -1.036101810000e+02  -7.502642750000e+01   2.458656602753e+06   2.053543990000e-06   6.745413590000e-01   1.285290830000e-01   7.744481563568e-01   6.042090925399e-01
 -1.036101810000e+02  -7.502642740000e+01   2.458656602753e+06   2.074173550000e-06   7.241996900000e-01   3.975880750000e-02   7.782874703407e-01   1.850681222150e+00
 -1.083069610000e+02  -7.071636280000e+01   2.458656618297e+06   2.160222300000e-06   7.609510300000e-01   2.022172720000e-02   7.710406184196e-01   2.489490117917e-01
 -1.083069610000e+02  -7.071636270000e+01   2.458656618297e+06   2.181952910000e-06   7.674676010000e-01   1.781516040000e-02   7.749581933022e-01   1.767880258070e-01
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.210586290000e-06   8.014880570000e-01   2.862921620000e-02   7.565191984177e-01   2.467202588839e+00
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.307440980000e-06   7.373585870000e-01   3.263569400000e-02   7.585127353668e-01   4.201509860637e-01
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.313532450000e-06   8.415195990000e-01   3.198882630000e-02   7.609155774117e-01   6.349167871213e+00
 -1.160201300000e+02  -5.707632630000e+01   2.458656664511e+06   2.336762880000e-06   8.356604310000e-01   3.337623180000e-02   7.650133371353e-01   4.480371200480e+00
 -1.164291680000e+02  -5.233333590000e+01   2.458656680128e+06   2.315778290000e-06   8.466650210000e-01   2.926203470000e-02   7.657813429832e-01   7.640340985089e+00
 -1.163271900000e+02  -5.118990860000e+01   2.458656683893e+06   2.326913760000e-06   8.410933380000e-01   2.884444080000e-02   7.692823410034e-01   6.198086958676e+00
 -1.162261350000e+02  -5.005708930000e+01   2.458656687623e+06   2.338071830000e-06   8.333414190000e-01   3.532311000000e-02   7.726920247078e-01   2.948051515477e+00
 -1.146892090000e+02  -4.464693590000e+01   2.458656705562e+06   2.280281450000e-06   7.517039020000e-01   4.963739080000e-02   7.866300940514e-01   4.950904923022e-01
 -1.140213360000e+02  -4.326996400000e+01   2.458656710187e+06   2.282409330000e-06   7.720200030000e-01   4.909488270000e-02   7.900967597961e-01   1.355715547803e-01
 -1.135593210000e+02  -4.231741330000e+01   2.458656713386e+06   2.290809880000e-06   8.031962590000e-01   3.974677570000e-02   7.935644388199e-01   5.872363410266e-02
 -1.008717940000e+02  -7.711610830000e+01   2.458656594941e+06   2.046860050000e-06   7.126144980000e-01   3.498507970000e-02   7.757853269577e-01   3.260373966067e+00
 -1.008717940000e+02  -7.711610840000e+01   2.458656594941e+06   2.067965440000e-06   7.159670440000e-01   7.529930270000e-02   7.797055840492e-01   7.165100960311e-01
 -1.036101810000e+02  -7.502642750000e+01   2.458656602753e+06   2.103348640000e-06   7.369461380000e-01   3.535252760000e-02   7.646160721779e-01   6.125976296760e-01
 -1.036101810000e+02  -7.502642750000e+01   2.458656602753e+06   2.124882260000e-06   7.119853610000e-01   9.330117350000e-02   7.686938047409e-01   3.694207160652e-01
 -1.083069610000e+02  -7.071636270000e+01   2.458656618297e+06   2.210322890000e-06   7.786826310000e-01   2.560221990000e-02   7.581759691238e-01   6.415561822273e-01
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.234003430000e-06   7.752525080000e-01   2.759774320000e-02   7.608872652054e-01   2.709435413484e-01
 -1.105319480000e+02  -6.816999210000e+01   2.458656627197e+06   2.256980460000e-06   8.026335820000e-01   2.931725080000e-02   7.650671601295e-01   1.641924480418e+00
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.332952360000e-06   7.407254040000e-01   1.820851220000e-02   7.630568146706e-01   1.504123143041e+00
 -1.153562490000e+02  -5.955262130000e+01   2.458656656316e+06   2.356865830000e-06   7.167978430000e-01   3.739711530000e-02   7.672077417374e-01   1.817002159234e+00
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.367860950000e-06   8.337544500000e-01   3.623426010000e-02   7.703458070755e-01   3.062373246226e+00
 -1.164291680000e+02  -5.233333590000e+01   2.458656680128e+06   2.376415850000e-06   8.396871280000e-01   3.667179350000e-02   7.760837674141e-01   3.008124625406e+00
 -1.162262150000e+02  -5.005759760000e+01   2.458656687622e+06   2.372188400000e-06   8.359686710000e-01   3.566497750000e-02   7.783685326576e-01   2.608333650184e+00
 -1.146891960000e+02  -4.464690470000e+01   2.458656705563e+06   2.340850090000e-06   7.450620540000e-01   4.029254650000e-02   7.829404473305e-01   8.837586291730e-01
 -1.135593160000e+02  -4.231740340000e+01   2.458656713386e+06   2.318299860000e-06   7.913523530000e-01   3.297774900000e-02   7.846641540527e-01   4.113167067650e-02
 -1.008717940000e+02  -7.711610830000e+01   2.458656594941e+06   2.096214810000e-06   7.187597860000e-01   3.182953310000e-02   7.848037481308e-01   4.305322642577e+00
 -1.008717940000e+02  -7.711610830000e+01   2.458656594941e+06   2.118144750000e-06   7.269668330000e-01   2.431261320000e-02   7.701111435890e-01   3.149080668545e+00
 -1.036101810000e+02  -7.502642740000e+01   2.458656602753e+06   2.155259280000e-06   7.334520220000e-01   1.988887900000e-02   7.742797732353e-01   4.213959027831e+00
 -1.036101810000e+02  -7.502642750000e+01   2.458656602753e+06   2.177857570000e-06   7.294446960000e-01   1.592357440000e-02   7.783132195473e-01   9.418403951296e+00
 -1.083069610000e+02  -7.071636270000e+01   2.458656618297e+06   2.239023530000e-06   7.693611050000e-01   2.551923940000e-02   7.634851336479e-01   5.301806671307e-02
 -1.083069610000e+02  -7.071636280000e+01   2.458656618297e+06   2.262485580000e-06   7.747058640000e-01   2.541904750000e-02   7.677045464516e-01   7.586492033986e-02
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.294867480000e-06   8.019446140000e-01   2.911268920000e-02   7.717383503914e-01   1.076538009964e+00
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.318948880000e-06   8.014775830000e-01   3.834939240000e-02   7.612560391426e-01   1.100019788913e+00
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.403652000000e-06   6.986781010000e-01   4.872299670000e-02   7.750379443169e-01   2.456190650379e+00
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.410499720000e-06   8.228722830000e-01   4.682126940000e-02   7.773836851120e-01   9.438842369443e-01
